Name,R_1,R_2,RRR_1,RRR_2
A22L5,1.6999999999999997,1.9499999999999997,101.106504622535,91.06495839468394
A22L6,2.400000000000003,1.8299999999999998,80.40070272144557,94.32351566615597
A22L7,1.82,1.7699999999999998,94.98000661467277,97.37175994946976
A22L8,3.2400000000000007,2.4799999999999818,67.59410659048159,79.08549669352671
A22R1,3.1600000000000006,3.1600000000000006,69.74295839809092,69.74295839809092
A22R2,3.400000000000001,3.2400000000000126,65.45791952580721,67.99534303947361
A22R3,2.5,2.5,78.792057073657,78.792057073657
A22R4,3.2400000000000007,3.2400000000000126,67.59410659048159,67.99534303947361
A22R5,3.03,3.2400000000000007,71.53341464630975,66.94333085452014
A22R6,1.7300000000000002,1.68,97.7700238334445,99.6525631876629
A22R7,3.0100000000000118,3.209999999999757,71.77217049437834,67.60486835724907
A22R8,2.9799999999999986,2.9899999999999998,71.9167377486337,71.7970833568226
A23L1,2.9799999999999986,3.32,71.9167377486337,66.69622311711481
A23L2,3.03,3.03,71.53341464630975,71.53341464630975
A23L3,3.0900000000000283,3.2400000000000126,70.74825409990856,67.99534303947361
A23L4,2.4800000000000004,1.8499999999999999,79.10202191429511,94.10394295985523
A23L5,2.45000000000002,3.2400000000000126,79.61488134911514,67.99534303947361
A23L6,3.0900000000000283,3.1300000000000003,70.74825409990856,70.35344691681026
A23L7,1.67,2.450000000000002,100.31451566000446,79.59764615112702
A23L8,3.32,3.27,66.69622311711481,66.66732040398628
A23R1,2.4299999999999997,2.45000000000002,79.9134887858741,79.61488134911514
A23R2,1.8,1.8,95.65008800371686,95.65008800371686
A23R3,3.2600000000000016,3.310000141193014,67.7519122227926,67.19212096326802
A23R4,3.2400000000000126,3.210000000000001,67.99534303947361,68.73171710454288
A23R5,3.2400000000000007,3.2400000000000007,67.59410659048159,66.94333085452014
A23R6,1.7899999999999998,2.480000000000015,96.14625244938793,79.11108700795295
A23R7,2.9799999999999986,3.3000000000097947,71.9167377486337,67.44303788811109
A23R8,2.9799999999999986,1.81,71.9167377486337,95.8748204483924
A24L1,3.3100000000000125,1.81,66.6210185838169,95.8748204483924
A24L2,1.68,2.45,99.6525631876629,79.59538110746324
A24L3,1.7499999999999998,3.4599999999999995,99.6289270513348,61.141317629472105
A24L4,3.1600000000000006,1.8499999999999999,69.74295839809092,94.10394295985523
A24L5,1.71,1.92,99.29508583041603,92.00434744749462
A24L6,1.74,2.4300000000000006,97.96870463516547,79.89986949478443
A24L7,1.7300000000000002,2.480000000000015,97.7700238334445,79.11108700795295
A24L8,3.11,3.0900000000000003,70.2908110941323,70.87720413274648
A24R1,1.82,3.2799999999999994,94.98000661467277,67.87449965452625
A24R2,3.209999999999757,3.2600000000000016,67.60486835724907,67.7519122227926
