Circuit,Magnet,Position,B1_aperture,Diode_type,Correctors,EE place,#Electric_EE,#Electric_circuit,Cryostat,Cryostat2,QPS Crate&Board,Bus Bar Segment Name,1st Magnet,2nd Magnet,Num of splices,Dcum1,Dcum2,QPS Crate,QPS Board,#Segment,cryostat_group,phys_pos,Phys. Position,El. Position,Name,R_1,R_2,RRR_1,RRR_2,Short magnet ID,age,Manufacturer,Inner cable type,Outer cable type,I_Q_SM18,Renamed short magnet ID,MTF Status,Magnet_construction_order,QPS Crate Number,Cryostat Number
RB.A56,MB.A12R5,13777.5523,EXT,R,A,EVEN,5,82,LBARA.12R5,LBARA_12R5,B10R5_2,DCBQ.11R5.L,MB.A11R5,MB.A12R5,4,13716.9406,13769.7223,B10R5,2,83,12R5,9.0,9,82,A12R5,3.3000000000000025,3.03,67.81747258741485,71.53341464630975,3367,14.0,3.0,01E,02D,9603.0,,,367,2,0
RB.A56,MB.B12R5,13793.2123,EXT,R,B,ODD,73,73,LBBRA.12R5,LBBRA_12R5,B13R5_2,DCBB.12R5.R,MB.A13R5,MB.B12R5,3,13823.1723,13785.3823,B13R5,2,73,12R5,10.0,10,73,B12R5,1.8,1.95,95.65008800371686,91.06495839468394,2240,14.0,2.0,01E,02C0,10896.0,,,240,2,1
RB.A56,MB.C12R5,13808.8723,EXT,R,A,EVEN,6,83,LBARB.12R5,LBARB_12R5,B12R5_0,DCBB.12R5.L,MB.A12R5,MB.C12R5,2,13769.7223,13801.0423,B12R5,0,84,12R5,11.0,11,83,C12R5,3.289999999999999,1.93,68.13512170581375,91.3891490310092,1286,14.0,1.0,01E,02B8,11920.0,,,286,0,2
RB.A56,MB.A13R5,13831.0023,EXT,R,B,ODD,72,72,LBBRA.13R5,LBBRA_13R5,B13R5_1,DCBB.A13R5.R,MB.C13R5,MB.A13R5,2,13854.4923,13823.1723,B13R5,1,72,13R5,12.0,12,72,A13R5,2.400000000000003,1.83,80.40070272144557,94.32351566615596,3360,14.0,3.0,01E,02D,12136.0,,,360,1,0
RB.A56,MB.B13R5,13846.6623,EXT,R,A,EVEN,7,84,LBARA.13R5,LBARA_13R5,B12R5_1,DCBB.A13R5.L,MB.C12R5,MB.B13R5,3,13801.0423,13838.8323,B12R5,1,85,13R5,13.0,13,84,B13R5,2.400000000000003,3.1300000000000003,80.40070272144557,70.35344691681026,3323,14.0,3.0,01E,02D,12271.0,,,323,1,1
RB.A56,MB.C13R5,13862.3223,EXT,R,B,ODD,71,71,LBBRC.13R5,LBBRC_13R5,B13R5_0,DCBB.B13R5.R,MB.B14R5,MB.C13R5,3,13892.2823,13854.4923,B13R5,0,71,13R5,14.0,14,71,C13R5,1.7300000000000002,1.68,97.7700238334445,99.6525631876629,1356,14.0,1.0,01E,02B8,11182.0,,,356,0,2
RB.A56,MB.A14R5,13884.4523,EXT,R,A,EVEN,8,85,LBARA.14R5,LBARA_14R5,B12R5_2,DCBQ.13R5.L,MB.B13R5,MB.A14R5,3,13838.8323,13876.6223,B12R5,2,86,14R5,15.0,15,85,A14R5,3.140000000000001,1.95,70.26040277030548,91.06495839468394,1269,14.0,1.0,01E,02B5,11754.0,,,269,2,0
RB.A56,MB.B14R5,13900.1123,EXT,R,B,ODD,70,70,LBBRA.14R5,LBBRA_14R5,B15R5_2,DCBB.14R5.R,MB.A15R5,MB.B14R5,3,13930.0723,13892.2823,B15R5,2,70,14R5,16.0,16,70,B14R5,3.2400000000000007,3.400000000000001,67.59410659048159,65.45791952580721,3356,14.0,3.0,01E,02D,9232.0,,,356,2,1
RB.A56,MB.C14R5,13915.7723,EXT,R,A,EVEN,9,86,LBARB.14R5,LBARB_14R5,B14R5_0,DCBB.14R5.L,MB.A14R5,MB.C14R5,2,13876.6223,13907.9423,B14R5,0,87,14R5,17.0,17,86,C14R5,3.28,1.93,67.87449965452625,91.3891490310092,3324,14.0,3.0,01E,02D,12231.0,,,324,0,2
RB.A56,MB.A15R5,13937.9023,EXT,R,B,ODD,69,69,LBBRA.15R5,LBBRA_15R5,B15R5_1,DCBB.A15R5.R,MB.C15R5,MB.A15R5,2,13961.3923,13930.0723,B15R5,1,69,15R5,18.0,18,69,A15R5,2.979999999999998,3.08,71.9167377486337,70.92620638880226,3188,14.0,3.0,01E,02G,12307.0,,,188,1,0
