,n_components,beta_loss,f_window,cosine_dist,corrcoef,cophcorr_esim
129,20.0,frobenius,blackman,0.43826497546074783,0.3323739816909439,0.8740902251744961
130,20.0,frobenius,flattop,0.41294582038976063,0.3468012258864006,0.9726325487244427
131,20.0,frobenius,hamming,0.37011437297376093,0.3495017092767554,0.906588414869931
132,20.0,frobenius,tukey,0.37502341865740185,0.3550410702083115,0.8466391053561115
133,2.0,kullback-leibler,ones,0.060086690718446634,0.6798432294733165,
134,2.0,kullback-leibler,hanning,0.06324059327673537,0.6765088394555878,
135,2.0,kullback-leibler,bartlett,0.06856199739662461,0.6801188310226172,
136,2.0,kullback-leibler,blackman,0.06902096543963132,0.6677544384354384,
137,2.0,kullback-leibler,flattop,0.07419573565998183,0.6478647608450007,
138,2.0,kullback-leibler,hamming,0.05964760693193849,0.6784771069165304,
139,2.0,kullback-leibler,tukey,0.056328145253124295,0.697520617250302,
140,3.0,kullback-leibler,ones,0.17029150759959943,0.5514308990314821,0.890514033466158
141,3.0,kullback-leibler,hanning,0.19542241114592007,0.5017305883978564,0.987951950843248
142,3.0,kullback-leibler,bartlett,0.1783699817572757,0.5006978605197165,0.7122063155156897
143,3.0,kullback-leibler,blackman,0.1961197954486088,0.49480140075110046,0.554678658688421
144,3.0,kullback-leibler,flattop,0.18516968656362864,0.4941039917770927,0.987562555054453
145,3.0,kullback-leibler,hamming,0.1929345715114268,0.49852675452602874,0.8244721931691791
146,3.0,kullback-leibler,tukey,0.1268135088045087,0.5403519601817351,0.9927401352556859
147,4.0,kullback-leibler,ones,0.2241532885627645,0.45576363917716123,0.9363433659270322
148,4.0,kullback-leibler,hanning,0.21065893823841947,0.4304125985313677,0.9187023279237302
149,4.0,kullback-leibler,bartlett,0.22510048076014988,0.4283780664737721,0.8789897248576541
150,4.0,kullback-leibler,blackman,0.22022023476269204,0.4258735832170195,0.9428292105986898
151,4.0,kullback-leibler,flattop,0.19389531762954348,0.42220523385090436,0.9131929345148047
152,4.0,kullback-leibler,hamming,0.2032079352156354,0.42741870469215326,0.8571963104128618
153,4.0,kullback-leibler,tukey,0.2086952605941429,0.43561134128653456,0.9424083832571737
154,5.0,kullback-leibler,ones,0.23569993683096757,0.46994180616726644,0.9576470993140678
155,5.0,kullback-leibler,hanning,0.2538996868335941,0.3816874372582662,0.8484572158728824
156,5.0,kullback-leibler,bartlett,0.3297600762331238,0.3697947789288926,0.899173151470715
157,5.0,kullback-leibler,blackman,0.27637127417737295,0.39556644901252286,0.9535374514947934
158,5.0,kullback-leibler,flattop,0.3203612027828812,0.39589560456039763,0.9398418435265344
159,5.0,kullback-leibler,hamming,0.2353301798825781,0.38105981145915463,0.8300778014505229
160,5.0,kullback-leibler,tukey,0.31409487296003696,0.4173436827098389,0.9283577963254749
161,6.0,kullback-leibler,ones,0.2490230459599404,0.4685681891377144,0.9172442763000356
162,6.0,kullback-leibler,hanning,0.292628695614383,0.37751520729001614,0.9159387191115808
163,6.0,kullback-leibler,bartlett,0.3188441758132009,0.37331670157834485,0.8954145678848741
164,6.0,kullback-leibler,blackman,0.37433336869725226,0.38355294450373756,0.852125098757285
165,6.0,kullback-leibler,flattop,0.3370857813373411,0.40076647738808113,0.849580775416123
166,6.0,kullback-leibler,hamming,0.340094662263306,0.3797465116267832,0.8683131535528755
167,6.0,kullback-leibler,tukey,0.32576841561082903,0.38840666088130377,0.8600253199003114
168,7.0,kullback-leibler,ones,0.25540581717917565,0.47395553290622894,0.9409308888416232
169,7.0,kullback-leibler,hanning,0.344820419800956,0.37561932981085305,0.8033762091444404
170,7.0,kullback-leibler,bartlett,0.3600398072162718,0.35214801594078765,0.8339615824151275
171,7.0,kullback-leibler,blackman,0.35232202123104905,0.3594486555210087,0.7584196255396741
172,7.0,kullback-leibler,flattop,0.3552560570844238,0.382414371375344,0.8303365633890611
173,7.0,kullback-leibler,hamming,0.36141388552667775,0.3719005331386136,0.8796661088126136
174,7.0,kullback-leibler,tukey,0.374780778922399,0.38805737016884945,0.8597514450731735
175,8.0,kullback-leibler,ones,0.28252506791788423,0.43106165734672897,0.8150680608765085
176,8.0,kullback-leibler,hanning,0.3715448328934824,0.3464979743729266,0.7875505270922827
177,8.0,kullback-leibler,bartlett,0.3557837550819717,0.36786032453430173,0.8737843431902955
178,8.0,kullback-leibler,blackman,0.35856910767121936,0.34792872795071733,0.810426398191281
179,8.0,kullback-leibler,flattop,0.3530595930043035,0.36872701014844744,0.8141684984175785
180,8.0,kullback-leibler,hamming,0.408452250033479,0.3459105843741205,0.8760554507401774
181,8.0,kullback-leibler,tukey,0.3958513254608408,0.3486575508266253,0.8566399292624913
182,9.0,kullback-leibler,ones,0.3180902578407925,0.4140782521209143,0.765168723747228
183,9.0,kullback-leibler,hanning,0.3810167167458022,0.33998439313923207,0.8441533326079175
184,9.0,kullback-leibler,bartlett,0.40727891840768515,0.36624258008234145,0.9024234186215763
185,9.0,kullback-leibler,blackman,0.3706324212993222,0.36655982887938404,0.8204656609741859
186,9.0,kullback-leibler,flattop,0.3737563615568106,0.36793096365739,0.8135457026446249
187,9.0,kullback-leibler,hamming,0.38592995873145175,0.3363017032432304,0.8911965839460341
188,9.0,kullback-leibler,tukey,0.40374294853897197,0.3503302888863907,0.8133609085182112
189,10.0,kullback-leibler,ones,0.34192565676842923,0.4173509238935331,0.7825755790599888
190,10.0,kullback-leibler,hanning,0.4158609598661263,0.34031065022237184,0.8325017458623699
191,10.0,kullback-leibler,bartlett,0.36979855720631327,0.3462193919994999,0.9096327367807991
192,10.0,kullback-leibler,blackman,0.36173827765762,0.3640473437602951,0.8047968324784919
193,10.0,kullback-leibler,flattop,0.3758831627202456,0.36592729846479277,0.8318603058951111
194,10.0,kullback-leibler,hamming,0.4329467433840658,0.34293606236190427,0.9254300218120789
195,10.0,kullback-leibler,tukey,0.42232878705927424,0.3424259247018489,0.8448405057804159
196,11.0,kullback-leibler,ones,0.37899918139540323,0.4129042987460643,0.7825824247895082
197,11.0,kullback-leibler,hanning,0.4355289403043062,0.34726745329125364,0.8637455699232526
198,11.0,kullback-leibler,bartlett,0.41113075209992667,0.36253038312050495,0.8315268866493648
199,11.0,kullback-leibler,blackman,0.40368217308916343,0.354840007744105,0.7688510925790933
200,11.0,kullback-leibler,flattop,0.3895528499953895,0.3647651677555008,0.8714882196709532
201,11.0,kullback-leibler,hamming,0.4001242734606517,0.3442728082560184,0.8693768694257094
202,11.0,kullback-leibler,tukey,0.38102922876926293,0.3340089424775029,0.8665823542379734
203,12.0,kullback-leibler,ones,0.36525638213527234,0.4023001963805648,0.8291578045583111
204,12.0,kullback-leibler,hanning,0.4191601539589235,0.3396813576405997,0.872462258986827
205,12.0,kullback-leibler,bartlett,0.4040296250191501,0.3602571233118155,0.8114286956495302
206,12.0,kullback-leibler,blackman,0.40518863009251743,0.35301031163680996,0.7514085069919115
207,12.0,kullback-leibler,flattop,0.3668577145241449,0.3611378958899998,0.8759075182890077
208,12.0,kullback-leibler,hamming,0.42971838358858233,0.3501877891565112,0.8635702366248178
209,12.0,kullback-leibler,tukey,0.40584258467689704,0.34247870604719943,0.6790578226661905
210,13.0,kullback-leibler,ones,0.3373836182437858,0.40828869593048617,0.8281822770738357
211,13.0,kullback-leibler,hanning,0.4039877441000025,0.3362748187230174,0.8643000349234886
212,13.0,kullback-leibler,bartlett,0.4259339515478272,0.3536609677871859,0.8502428326529369
213,13.0,kullback-leibler,blackman,0.44780901889367575,0.35968022309024295,0.7276401817960036
214,13.0,kullback-leibler,flattop,0.4134128266578408,0.36005747341277955,0.8807788471963468
215,13.0,kullback-leibler,hamming,0.44271145387258914,0.3510873319643586,0.8360321516164395
216,13.0,kullback-leibler,tukey,0.40113046930307583,0.33773977859047705,0.7711051622989532
217,14.0,kullback-leibler,ones,0.33533845395466155,0.3772291552410242,0.808128929628637
218,14.0,kullback-leibler,hanning,0.4343006327355905,0.32902881898145375,0.8772596559149998
219,14.0,kullback-leibler,bartlett,0.3874472167314215,0.34849050910277674,0.8450402678952611
220,14.0,kullback-leibler,blackman,0.4288102439607466,0.35948539837378823,0.7708376175205838
221,14.0,kullback-leibler,flattop,0.39671951646265335,0.3694382584859162,0.8685522966071589
222,14.0,kullback-leibler,hamming,0.42050793460462166,0.34707969107261577,0.8396357473190985
223,14.0,kullback-leibler,tukey,0.4314327751199861,0.3273749156863815,0.785363976675089
224,15.0,kullback-leibler,ones,0.3363063866538514,0.3808762648614736,0.8176838885681361
225,15.0,kullback-leibler,hanning,0.4507439997163248,0.3418234655868754,0.8236277703289692
226,15.0,kullback-leibler,bartlett,0.4308812911841233,0.34190898718274576,0.8255936942410065
227,15.0,kullback-leibler,blackman,0.39979792349072896,0.366939358103555,0.8034139767963303
228,15.0,kullback-leibler,flattop,0.4206005849000046,0.3761852605635329,0.8897767890532549
