Circuit,Crate,U_DIODE_RB,#Diode_circuit
RB.A56,B14L6,MB.C14L6,9
RB.A56,B14L6,MB.B15L6,10
RB.A56,B16L6,MB.A16L6,11
RB.A56,B16L6,MB.C16L6,12
RB.A56,B16L6,MB.B17L6,13
RB.A56,B18L6,MB.A18L6,14
RB.A56,B18L6,MB.C18L6,15
RB.A56,B18L6,MB.B19L6,16
RB.A56,B20L6,MB.A20L6,17
RB.A56,B20L6,MB.C20L6,18
RB.A56,B20L6,MB.B21L6,19
RB.A56,B22L6,MB.A22L6,20
RB.A56,B22L6,MB.C22L6,21
RB.A56,B22L6,MB.B23L6,22
RB.A56,B24L6,MB.A24L6,23
RB.A56,B24L6,MB.C24L6,24
RB.A56,B24L6,MB.B25L6,25
RB.A56,B26L6,MB.A26L6,26
RB.A56,B26L6,MB.C26L6,27
RB.A56,B26L6,MB.B27L6,28
RB.A56,B28L6,MB.A28L6,29
RB.A56,B28L6,MB.C28L6,30
RB.A56,B28L6,MB.B29L6,31
RB.A56,B30L6,MB.A30L6,32
RB.A56,B30L6,MB.C30L6,33
RB.A56,B30L6,MB.B31L6,34
RB.A56,B32L6,MB.A32L6,35
RB.A56,B32L6,MB.C32L6,36
RB.A56,B32L6,MB.B33L6,37
RB.A56,B34L6,MB.A34L6,38
RB.A56,B34L6,MB.C34L6,39
RB.A56,B34L6,MB.B34R5,40
RB.A56,B33R5,MB.C33R5,41
RB.A56,B33R5,MB.A33R5,42
RB.A56,B33R5,MB.B32R5,43
